<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"VRC for Handicapped","Vocational Training","Abhoy Nagar Agartala Tripura 799005",,Tripura,799005,0381-2325632,,vrcagartala@hub.nic.in,,"'- Centre is providing vocational training like chair canning, computer training, etc. - Centre also provides services such as consultancy for setting up vocational training programs, career counseling, placement cell.",,
"ABINAV DRISTI EYE HOSPITAL","Eye Bank","Mahanagar Extension, Shadab Colony, Mahanagar",Lucknow,"Uttar Pradesh",226006,"0522 2335122",,info@abinavdrishti.org,,,,
"ACURAVISION CLINICS","Eye Bank","Roop Netrayala Building, Opp. NAS College, EK Road,",Meerut,"Uttar Pradesh",250001,0121-2648870,9927007094,info@acuravision.com,https://acuravision.com/,,,
"Akhil Khadi Tatha Gramodyogik Sansthan",School,"B-1/33, Tilak Nagar, Gora Bazar Raebareli  229001",,"Uttar Pradesh",229001,0535-2701058,,akgsindia@gmail.com,,"Type of School: Upper Primary Co.Ed. School from Pre School/Nursery to Class VIII - Admission Time: - - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as community based rehabilitation services, aid and appliances, consultancy for setting up vocational training programs, placement cell, provision of machinery &amp; equipment, Braille library, sports and vocational training.",,
"Arunima Trust",School,"42 A, Darbhanga Cassel Arunima Lane Allahabad Uttar Pradesh",,"Uttar Pradesh",,0532-2461222,9415308216,draddube@gmail.com,,"Type of School: Upper Primary Co.Ed. Residential from school Class I to VIII U - Admission Time: July - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as community based rehabilitation services, consultancy for  setting up vocational training programs, placement cell, provision of machinery &amp; equipment, Braille library and vocational training.",,
"Ashoka Punarwas Sanstha",School,"NH24, Chhata Meel Kamlabad Badauli, Sitapur Road to Kotwa Sadak, Near Sai Nagar Lucknow Uttar Pradesh 227202",,"Uttar Pradesh",227202,,9415014902,ashoka.lko@gmail.com,,"Type of School: Upper Primary residential school for the boys from Class I to VIII - Admission Time: July - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing community based rehabilitation services, consultancy for setting up vocational training programs, employment services, hostels/residential services, Braille library and vocational training.",,
"Bachpan Day Care Centre",School,"A- 700 A, Sector- C, Mahanagar Lucknow Uttar Pradesh",,"Uttar Pradesh",,,9415275571,,,"Type of School: Elementary Co.Ed. School - Admission Time: April to August - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille appliances and cultural activities.",,
"Banaras Hindu University (BHU)",,"Varanasi, Uttar Pradesh",,"Uttar Pradesh",,(0542)-2368938,,,,"B.Ed., M.Ed., Special Ed for Visually Impaired",,
"BANARAS HINDU UNIVERSITY EYE BANK","Eye Bank","Department Of Opthalmology, Institute Of Medical Sciences, Banaras Hindu University",Varanasi,"Uttar Pradesh",221001,5422307590,,,,,,
"Bharat Ahshara Organisation",,"D-176, Sector 10, District Gautam Budha Nagar Noida Uttar Pradesh 201301",,"Uttar Pradesh",201301,0120-2583425,9811846755,deepakbajpai@hotmail.com,,"'- BASO aspires to join hands and dreams to serve the underprivileged, specially- abled, marginalized, down trodden and needy people of the society with collective efforts.",,
"Bhartiya Netraheen Vidyalya",School,"Neelkanth Vihar, Bhooteshwra Mandir Marg, Khalasi Line Saharanpur Uttar Pradesh 247001",,"Uttar Pradesh",247001,0132-2681502,9927275226,rajbhawan@yahoo.com,,"Type of School: Upper Primary residential school for the boys from Class I to VIII - Admission Time: July - Fee Structure: - - Other Facilities in the School: School is providing services such as consultancy for setting up vocational training programs and hostels/residential services.",,
"Bichitra Nanda School for Blind",,"Mohaan Road, Lucknow, Uttar Pradesh",,"Uttar Pradesh",,"(0522)-2891393, 2891386, 1800-180-0987 (Toll-Free)",,,,"cataract surgery, LASIK, glaucoma treatment, retinal care, paediatric ophthalmology, and neuro-ophthalmology consultations.",,
"Blind Relief Academy, Etawah",School,"120- Nagra, Bazriya Pakka Talav Etawah Uttar Pradesh 206001",,"Uttar Pradesh",206001,05688-257638,,,www.blindreliefacademy.org,"Type of School: Senior Secondary Co.Ed. residential school from Pre School/ Nursery to Class XII - Admission Time: 1st July onwards - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille library, sports, cultural activities and voluntary services.",,
"Blind School Ayodhya",SCHOOL,"Q6P2+J3M, Unnamed Road, Kami Ganj, Ayodhya, Uttar Pradesh 224123",AYODHYA,"Uttar Pradesh",224123,8115433495,,,,,"Boys hostelStarting from 8 years",https://maps.app.goo.gl/RcR6GZTxU6AwWJBa6
"Blind School, Jagdishpura",,"Agra, Uttar Pradesh",,"Uttar Pradesh",,9412110056,,,,"Blind education institute",,
"Brij Mohan School for the Blind",SCHOOL/HOSTEL,"D-Pocket, E Block, Buddha Enclave, Lohia Nagar, Meerut, Uttar Pradesh 250221",MEERUT,"Uttar Pradesh",250002,9808876116,,,http://blindschoolmeerut.org/,"Nursery to 8th
 COMPUTER TRAINING 
 HOSTEL","Boys &amp; Girls hostel (separate)Starting from 6 years (self-dependent)",https://maps.app.goo.gl/ALms5eC3fQcw7EXC9
"C.L GUPTA EYE BANK SOCIETY","Eye Bank","C.L.Gupta Eye Institute, Ramganga Bihar Phase-II",Moradabad,"Uttar Pradesh",244001,5912477804,,,,,,
"Central Institute for the Visually Handicapped",,"Rajendra Nagar, Lucknow",,"Uttar Pradesh",,0522‑2324070,,,,"Research, rehab, education",,
"Denajee Eye Bank","Eye Bank","Guru Kripa Kunj, Opposite Madhubani Colony, Kanth Road Moradabad Uttar Pradesh",,"Uttar Pradesh",,0591-2317975,,,,"'- Eye bank and medical certifications.",,
"Department of Social Welfare","Government Department","Social Welfare Deptt., Secretariat, Govt. of Uttar Pradesh Lucknow Uttar Pradesh",,"Uttar Pradesh",,0522-281375,,,,"'- Government department overseeing implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
"District Eye Hospital","Eye Bank","Near Moradabad Club, Civil Lines Moradabad Uttar Pradesh 244001",,"Uttar Pradesh",244001,05688-252559,,,,"'- Eye hospital and medical certifications.",,
"District Eye Relief Society",School,"KD Dalmia Eye Hospital, Nainital Road Rampur Uttar Pradesh 244901",,"Uttar Pradesh",244901,0595-2350409,,ders.dalmia_rampur@yahoo.com,,"Type of School: Upper Primary Co.Ed. Residential school from Class I to VIII - Admission Time: July U - Fee Structure: Free - Other Facilities in the School: School is providing services like community based rehabilitation services, eye clinics and medical certifications. ",,
"District Rehabilitation Centre","vocational training","Lal Bagh (Near Raja College Field), Prem Nagar, Shahjahanpur Road Sitapur Uttar Pradesh 261001",,"Uttar Pradesh",261001,05862-3283,,,,"'- Rehabilitation centre provides services like low vision aids, consultancy for setting up vocational training programs/setting up income generation activities, career counseling, counseling for late blind persons, placement cell. - Eye clinics and medical certifications and Braille appliances.",,
"District Rehabilitation Centre","vocational training","Room No:10, III rd Floor, Vikas Bhawan, DRC, Jagadishpur, Community Centre Campus Sultanpur Uttar Pradesh 227809  DIRECTORY OF SERVICESfor Persons with Vision loss in India",,"Uttar Pradesh",,0536-22317,,,,"'- Rehabilitation centre provides services like low vision aids, consultancy for setting up vocational training programs/setting up income generation activities, career counseling, counseling for late blind persons, placement cell. - Eye clinics and medical certifications and Braille appliances.",,
"Divya Jyoti Blind Girls School",,"Q6P2+J3M, Unnamed Road, Kami Ganj, Ayodhya, Uttar Pradesh 224123",,"Uttar Pradesh",224123,8115433495,,,,"Private co‑ed, est. 1955",,
"DR SHROFF CHARITY EYE HOSPITAL","Eye Bank",,Meerut,"Uttar Pradesh",250005,1212422077,,,,,,
"DR. SHROFF CHARITY EYE HOSPITAL","Eye Bank","Village-Sahdewa, Gola Sajahanpur Road, Tehsil- Mohammadi",,"Uttar Pradesh",262804,5876294002,,saranraghubir@gmail.com,,,,
"EYE BANK AND KERATOPLASTY CENTRE","Eye Bank","C/O. Commandant, Command Hospital (CC)",Lucknow,"Uttar Pradesh",226006,52222996548,,,,,,
"Eye Bank Dhampur","Eye Bank","Dhampur Uttar Pradesh 246761",,"Uttar Pradesh",246761,01344-230222,,,,"'- Eye bank and medical certification.",,
"Eye Bank, Gandhi Eye Hospital","Eye Bank","Ram Ghat Road Aligarh Uttar Pradesh 202001",,"Uttar Pradesh",202001,0571-2509342,9219445004,,,"'- Eye hospital and medical certifications.",,
"Gandhi Memorial and Associated Hospitals",,"Lucknow, UP",,"Uttar Pradesh",,0522‑2258500,,,,"Medical rehab, visual disability services",,
"Garg Hospital","Eye Bank","GPO, No.45, Ram Bagh Road, Near Janean Vihar, Near Punjab National Bank Muzaffarnagar Uttar Pradesh 251001",,"Uttar Pradesh",251001,0131-2660541,,,,"'- Eye hospital and medical certifications.",,
"Government Blind School",School,"Mahokhar Banda Uttar Pradesh",,"Uttar Pradesh",,,09452463966,,,"Type of School: Secondary residential school for the boys from Class I to X - Admission Time: July - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille press, low vision aids, designing ICT labs, Braille library, Braille appliances, sports and cultural activities.",,
"Government Sparsh Inter College",School,"Laldiggi, Gitapress Gorakhpur Uttar Pradesh 273005",,"Uttar Pradesh",273005,8423034905,,principal.rsicgkp@gmail.com,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: July - Fee Structure: - - Other Facilities in the School: School is providing services such as hostels/ residential services, Braille library, Braille appliances and sports.",,
"Govt. Blind Inter College Lucknow",School,"Mohan Road Lucknow, Rajaji Puram, Alam Ngr, Near Buddheshwar Temple Lucknow Uttar Pradesh 226017",,"Uttar Pradesh",226017,522-2413821,9415969588,,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: July - Fee Structure: - - Other Facilities in the School: School is providing services such as community based rehabilitation services, consultancy for setting up vocational training programs, training for employment, hostels/residential services and Braille library.",,
"Guru Nanak Eye Centre",,"Kalyan Dham, Masani Delhi Link Road, Saraswati Kund, Mathura, UP",,"Uttar Pradesh",,"9897203030, 9760203030",,,,"Education, awareness for visually impaired",,
"ICARE Eye Hospital - Ishwar Charitable Trust","Eye Hospital","Meerut, India",,"Uttar Pradesh",,,,,,"Free eye care, blindness prevention, outreach",,
"Institute for the Blind, Amritsar",,"D-Pocket, E Block, Buddha Enclave, Lohia Nagar, Meerut, Uttar Pradesh 250221",,"Uttar Pradesh",250221,9808876116,,,,"Rehab center for mentally challenged",,
"Jeevan Jyoti Institute for the Disabled",School,"No:552, Aktha, Sarnath Post Varanasi Uttar Pradesh 221007",,"Uttar Pradesh",221007,0542-2585151,,jjinstitute75@gmail.com,www.jeevanjyoti.net,"Type of School: Senior Secondary residential school for the girls from Pre School/Nursery to Class XII and Open School Learning College for the girls - Admission Time: April - Fee Structure: (i) Pre School/Nursery to Class VIII: - (ii) Class IX to X: Rs. 100 per month (per child) (iii) Class XI to XII: Rs. 130 per month (per child) (iv) Open School Learning College: - - Other Facilities in the School: Apart from School, school is providing services such as Braille press, community based rehabilitation services, consultancy for setting up vocational training programs, consultancy for setting up services for deaf and blind, hostels/residential services, Braille library, publication services, short term training programme and vocational training.",,
"Jeevan Jyoti School for Blind Children",,"Varanasi, Uttar Pradesh",,"Uttar Pradesh",,0542‑2451306,,,,"Co-ed blind school",,
"Jyotsana Sewa Samiti for the Handicapped",School,"Village Fulwaria, P.O. Charwan Barwan via Sikanderpur Ballia Uttar Pradesh",,"Uttar Pradesh",,,9565180794,,,"Type of School: Upper Primary Co.Ed. School from Class I to Class VIII - Admission Time: - - Fee Structure: Free - Other Facilities in the School: School is providing services such as community based rehabilitation service, low vision aids, career counseling, counseling for late blind persons, eye clinics &amp; medical certifications and print books.",,
"KALYANAM KAROTI","Eye Bank","Masani Delhi Delhi Link Road, Saraswati Kund, Masani Rd",Mathura,"Uttar Pradesh",281003,,9897203030,kalyanamkarotimathura@gmail.com,,,,
"Kanpur Andh Vidyalaya Junior High School",School,"Shop No. 110/241, 80 Feet Rd, Nehru Nagar Chauraha, Nehru Nagar, Jawahar Nagar Kanpur Uttar Pradesh 208012",,"Uttar Pradesh",208012,0512-2543124,,kbs.680@rediffmail.com,,"Type of School: Upper Primary residential school for the boys from Class I to VIII - Admission Time: 1st July onwards - Fee Structure: - - Other Facilities in the School: Sports and cultural activities.",,
"Khairabad Eye Hospital &amp; Mahendra Eye Research","Eye Bank","Opposite Utker Academy, Mall Rd, Khalasi Line, Swaroop Nagar Kanpur Uttar Pradesh 208002",,"Uttar Pradesh",208002,0512-2549430,9450939492,contact@mahendraeyeinstitute.com,www.mahendrainstitute.com,"'- Eye hospital and medical certifications.",,
"King George's Medical University","Eye Bank","Shah Mina Rd, Chowk, Lucknow, Uttar Pradesh 226003",Lucknow,"Uttar Pradesh",226003,6390826826,6388247742,,https://kgmu.org/index.php,,,
"Kiran Society",,"Varanasi, UP",,"Uttar Pradesh",,0542‑6450266,,,,"Inclusive education &amp; therapy",,
"Kulshreshtha Eye Centre &amp; Laser Services",,"Plot No: 1980, Near R K Logical Museum, Dampier Nagar Mathura Uttar Pradesh 281001",,"Uttar Pradesh",281001,0565-2502312,9412777899,,,"'- Centre provides various counseling services.",,
"LUCKNOW EYE BANK","Eye Bank","Presicion Eyecare B-145, Mahanagar",Lucknow,"Uttar Pradesh",226006,5222381919,,,,,,
"Lucknow Eye Bank","Eye Bank","CONTACT PERSON B-719 C/O Abhinav Drishti Eye Hospital, Mahanagar, Sec-C Channilal Chauraha, Near E B Office Maha Nagar Uttar Pradesh 226006",,"Uttar Pradesh",226006,0522-2381919,,,www.abhinavdrishti.org,"'- Eye bank and medical certifications.",,
"Mahakavi Surdash Netrahin Vidhyalya",School,"Surkuti, Runaktha Agra Uttar Pradesh",,"Uttar Pradesh",,,9720002936,sharmaanerschoolvijaylaxmi@ymail.com,,"Type of School: Senior Secondary Residential School for the boys from Class I to XII - Admission Time: Class I to VIII: July - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as consultancy for setting up vocational training programs, placement cell, provision of machinery &amp; equipment and vocational training.",,
"Maharani Laxmi Bai Memorial Eye Hospital","Eye Bank","Jail Crossing Jhansi Uttar Pradesh",,"Uttar Pradesh",,0510-2470165,9506745015,drgsargal@yahoo.com,,"'- Providing counseling services",,
"NAB – National Association for the Blind (Lucknow)",NGO,"Lucknow, India",,"Uttar Pradesh",,,,,,"Blind services, education, rehab (NAB Branch)",,
"NAB Meerut",School,"22, Kalyan Nagar, Garh Road Meerut Uttar Pradesh 250001",,"Uttar Pradesh",250001,,9868772628,nabmeerut@gmail.com,www.nabmeerut.org,"Type of School: Senior Secondary Co.Ed. School from Class I to XII and Open School Learning College - Admission Time: - - Fee Structure: - - Other Facilities in the School: Apart from School association provides services such as community based rehabilitation services, low vision aids, career counseling, counseling for late blind persons, placement cell, group placements, Sports and cultural activities, talking book library, etc. Eye Bank/ Hospital DESCRIPTION - Eye hospital and medical certifications.",,
"Nagina Jyoti Shikshan Seva Sansthan",School,"Gram Pandeypur, Post-Sorra, Tashil Rasra, Janpad-baliya Baliya Uttar Pradesh 221721",,"Uttar Pradesh",221721,,9451802438,,,"Type of School: Senior Secondary Co.Ed. School from Class I to XII - Admission Time: July - Fee Structure: Free - Other Facilities in the School: School is providing services such as community based rehabilitation services, low vision aids, counseling, employment services, eye clinics and medical certifications, Braille library, print books, Braille appliances, sports and cultural activities.",,
